url,title,price,extra,scraped_at
https://research.jfrog.com/post/sqlite-critical-cves-or-llm-slops/,Critical CVE issued for hallucinated SQLite vulnerability,,"{""points"": ""573"", ""author"": ""ymir_e"", ""comments"": ""206"", ""age_iso"": ""2026-08-03T11:28:54"", ""site"": ""jfrog.com"", ""hn_id"": ""49154332"", ""rank"": ""1"", ""is_hiring"": ""false"", ""topic"": ""hallucinated SQLite CVE"", ""company"": ""JFrog""}",2026-08-03T18:51:19.410605
https://blog.exe.dev/devtools-must-be-open-source,Devtools must be open source,,"{""points"": ""152"", ""author"": ""bryanmikaelian"", ""comments"": ""53"", ""age_iso"": ""2026-08-03T14:15:47"", ""site"": ""exe.dev"", ""hn_id"": ""49156111"", ""rank"": ""2"", ""is_hiring"": ""false"", ""topic"": ""open source devtools""}",2026-08-03T18:51:19.410605
https://www.marlerblog.com/case-news/taylor-farms-has-rewritten-its-cyclospora-statement-four-times-in-sixteen-days-it-still-has-not-said-what-changed-at-that-plant-after-2013-or-why-two-thousand-negative-tests-should-mean-an/,Taylor Farms Has Rewritten Its Cyclospora Statement Four Times in Sixteen Days,,"{""points"": ""140"", ""author"": ""speckx"", ""comments"": ""58"", ""age_iso"": ""2026-08-03T15:31:32"", ""site"": ""marlerblog.com"", ""hn_id"": ""49157128"", ""rank"": ""3"", ""is_hiring"": ""false"", ""topic"": ""Cyclospora statement revisions"", ""company"": ""Taylor Farms""}",2026-08-03T18:51:19.410605
https://blog.comfy.org/p/minimax-h3-day-0-support-in-comfyui,"MiniMax H3 Day-0 Support in ComfyUI: Open Weights, Native Audio, and 2K Video",,"{""points"": ""138"", ""author"": ""vblanco"", ""comments"": ""43"", ""age_iso"": ""2026-08-03T13:34:43"", ""site"": ""comfy.org"", ""hn_id"": ""49155629"", ""rank"": ""4"", ""is_hiring"": ""false"", ""topic"": ""ComfyUI H3 video support"", ""company"": ""MiniMax""}",2026-08-03T18:51:19.410605
https://clickhouse.com/blog/andy-pavlo-joins-clickhouse,Andy Pavlo Joins ClickHouse to Establish ClickHouse Labs,,"{""points"": ""97"", ""author"": ""nikolay_sivko"", ""comments"": ""22"", ""age_iso"": ""2026-08-03T14:09:00"", ""site"": ""clickhouse.com"", ""hn_id"": ""49156011"", ""rank"": ""5"", ""is_hiring"": ""false"", ""topic"": ""Andy Pavlo joins ClickHouse"", ""company"": ""ClickHouse""}",2026-08-03T18:51:19.410605
https://gruhn.me/blog/2026-08-03/,Don't be a meat proxy,,"{""points"": ""1391"", ""author"": ""ngruhn"", ""comments"": ""582"", ""age_iso"": ""2026-08-03T06:28:01"", ""site"": ""gruhn.me"", ""hn_id"": ""49151933"", ""rank"": ""6"", ""is_hiring"": ""false"", ""topic"": ""human autonomy at work""}",2026-08-03T18:51:19.410605
https://hoplite.sh,Launch HN: Hoplite (YC S26) – Effortlessly deploy cloud coding agents,,"{""points"": ""8"", ""author"": ""BenceRed"", ""comments"": ""0"", ""age_iso"": ""2026-08-03T16:32:06"", ""site"": ""hoplite.sh"", ""hn_id"": ""49157997"", ""rank"": ""7"", ""is_hiring"": ""false"", ""topic"": ""cloud coding agents deployment"", ""company"": ""Hoplite""}",2026-08-03T18:51:19.410605
https://www.statsignificant.com/p/how-hollywood-stopped-making-movies,How Hollywood stopped making movies in Hollywood,,"{""points"": ""68"", ""author"": ""speckx"", ""comments"": ""49"", ""age_iso"": ""2026-07-28T12:41:00"", ""site"": ""statsignificant.com"", ""hn_id"": ""49082937"", ""rank"": ""8"", ""is_hiring"": ""false"", ""topic"": ""Hollywood film production decline""}",2026-08-03T18:51:19.410605
https://qwen.ai/blog?id=qwen3.8,Qwen3.8-Max: A New Bar for Coding and Cowork,,"{""points"": ""922"", ""author"": ""ai2027"", ""comments"": ""476"", ""age_iso"": ""2026-08-03T02:16:09"", ""site"": ""qwen.ai"", ""hn_id"": ""49150470"", ""rank"": ""9"", ""is_hiring"": ""false"", ""topic"": ""nowy model AI"", ""company"": ""Qwen""}",2026-08-03T18:51:19.410605
https://www.intellinews.com/wind-and-solar-overtake-fossil-fuels-in-germany-for-the-first-time-ever-458379/,Wind and solar overtake fossil fuels in Germany for the first time,,"{""points"": ""50"", ""author"": ""just_some_user"", ""comments"": ""2"", ""age_iso"": ""2026-08-03T13:13:02"", ""site"": ""intellinews.com"", ""hn_id"": ""49155359"", ""rank"": ""10"", ""is_hiring"": ""false"", ""topic"": ""wind solar energy Germany""}",2026-08-03T18:51:19.410605
